distance,stellar_magnitude,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,planet_type
184,7.13463,0.367,1,1.19,1,0.07,0.01615332,0.09,0
181,6.59451,1.44,1,1.21,1,3.27,5.3,0.31,0
66,7.92,0.16,1,0.729,1,0.26,0.15277207,0,0
442,7.828,1.487,1,1.21,1,2.01,2.8,0.13,0
328,5.79389,8.3,1,1.12,1,0.95,0.5462012,0.09,0
229,8.63,26.90216,1,1.07,1,35.74703,211.3,0.13,0
180,8.65,0.64,1,1.26,1,3.38,6.6,0,0
125,7.41,10,1,1.11,1,2.61,4.2,0.48,0
306,7.58,10.13,1,1.11,1,3.34,5.2,0.19,0
57,5.52,0.94,1,1.23,1,2.015,2.7,0.15,0
111,7.971,11.0719,1,1.11,1,4.496414,9.8,0.56,0
336,7.8,11,1,1.11,1,650,13538.6,0,0
108,6.28262,6.02397,1,1.14,1,2.050268,2.9,0.1,0
161,8.01,0.21,1,0.856,1,0.269,0.13169062,0.05,0
127,6.99,0.261,1,0.973,1,0.102,0.029842572,0.53,0
160,9.38,3.5,1,1.17,1,2,3.1,0.85,0
537,7.71,2.414,1,1.18,1,1.32,1.1983573,0.03,0
194,8.76,1.42,1,1.21,1,1.04,1.0800822,0.13,0
194,8.76,0.99,1,1.23,1,2.659,4.4,0.24,0
221,8.751,0.86,1,1.24,1,0.33,0.18699522,0.12,0
181,8.78,2.99,1,1.17,1,1.259,1.4,0.34,0
206,8.08,0.27,1,0.993,1,0.0615,0.014236824,0,0
380,5.94188,0.45,1,1.28,1,0.95,0.77700204,0.44,0
139,8.9,21.16046,1,1.08,1,12.511098,46.9,0.06,0
329,4.64597,11.09,1,1.11,1,2.14,2.3,0.46,0
147,7.83,27.19954,1,1.06,1,16.589764,67,0.4,0
145,7.13,7.64087,1,1.13,1,13.503729,47.2,0.29,0
94,7.59,8.26484,1,1.12,1,2.147271,3.2,0.21,0
94,7.59,19.1473,1,1.08,1,17.20592,72.5,0.56,0
372,6.417,4.4,1,1.15,1,2.5,2.9,0.26,0
108,6.11006,4.51,1,1.15,1,1.82,2.3,0.03,0
1055,6.53649,5,1,1.15,1,1.7,1.7,0.24,0
118,6.02078,3.24706,1,1.17,1,1.021796,0.8695414,0.28,0
118,6.02078,19.72438,1,1.08,1,6.82814,14.9,0.16,0
506,7.88,0.79726,1,1.24,1,0.922152,0.6255989,0.17,0
53,9.05,0.36,1,1.18,1,1.24,1.8,0.14,0
53,9.05,0.93,1,1.24,1,2.44,5,0.2,0
379,4.77044,6.3,1,1.14,1,1.6,1.7,0.28,0
311,8.2,8,1,1,1,0.5109,0.30061603,0.4,0
91,8.73,1.14,1,1.22,1,1.73,2.6,0.23,0
66,4.85,0.357,1,1.17,1,5.34,11,0.46,0
123,6.68,0.825,1,1.24,1,2.067,3.1,0.08,0
69,7.56,1.1,1,1.23,1,1.16,1.351677,0.14,0
69,7.56,0.611,1,1.26,1,4.97,11.8,0,0
127,7.43,8.33652,1,1.12,1,20.331533,89.5,0.14,0
167,7.51,5.40173,1,1.14,1,2.798425,4.4,0.39,0
167,7.51,0.3645,1,1.18,1,0.749283,0.61327857,0.23,0
167,7.51,7.69861,1,1.13,1,12.245208,40.3,0.06,0
36,6.50066,10.38165,1,1.11,1,11.294908,42,0.21,0
286,8.34,8.29,1,1.12,1,5,10.1,0.49,0
402,7.88,1.4,1,1.21,1,1.65,1.8,0,0
106,7.26,1.926,1,1.2,1,3.787,7.2,0.16,0
767,6.88269,5.63,1,1.14,1,1.09,1.187406,0.19,0
123,7.17,0.174,1,0.766,1,0.18,0.07063655,0.15,0
301,8.05,2.79,1,1.172,1,0.07,0.01670089,0.31,0
109,6.41525,0.622,1,1.26,1,3.16,5.3,0.04,0
222,4.68,6.54,1,1.13,1,1.93,1.9,0.4,0
336,5.90686,7.67534,1,1.13,1,4.332646,5.7,0.73,0
136,7.54,1.51,1,1.21,1,0.33,0.17330596,0.03,0
104,5.88051,9.97867,1,1.11,1,22.1877,99.6,0.17,0
174,7.659,0.22921,1,0.901,1,0.406294,0.23271732,0.23,0
196,7.88,0.75,1,1.25,1,0.86,0.74113625,0.34,0
158,8.18,2.98,1,1.17,1,0.297,0.16098562,0.07,0
128,9.68,11.05674,1,1.11,1,10.780317,40.8,0.17,0
501,8.21,28.83791,1,1.06,1,3.49516,4.8,0.6,0
188,8.31,2.97102,1,1.17,1,1.348279,1.5,0.45,0
188,8.31,7.40145,1,1.13,1,3.979432,7.7,0.11,0
594,6.98656,1.96,1,1.2,1,0.54,0.3657769,0.04,0
123,7.85,0.237,1,0.919,1,1.837,2.6,0.04,0
238,8.81,0.37745,1,1.21,1,2.248182,3.4,0.55,0
123,7.43,2.43,1,1.18,1,0.84,0.71923345,0.38,0
123,7.43,1.812,1,1.2,1,2.8145,4.7,0.03,0
53,7.48,1.769,1,1.2,1,1.084,1.2402464,0.3,0
53,7.48,3.789,1,1.16,1,1.74,2.5,0.16,0
85,8.2411,0.89,1,1.24,1,0.87,0.8164271,0.57,0
220,8.8,1.6,1,1.21,1,2.9,5,0.7,0
104,8.04,1.15,1,1.22,1,0.0925,0.029295003,0.03,0
430,7.8,1.8,1,1.2,1,2.01,2.5,0.18,0
486,8.34,3.31,1,1.17,1,4.1,7.2,0.56,0
1624,7.57,10.95,1,1.11,1,1.25,1.2911705,0.27,0
231,8.45,5.38,1,1.14,1,1.98,2.7,0.34,0
343,8.928001,1.49,1,1.21,1,2.62,4.2,0.22,0
168,7.66,1.42,1,1.21,1,1.44,1.8,0.33,0
168,7.66,0.42,1,1.28,1,4.49,9.8,0.49,0
167,8.413,2.5,1,1.18,1,6.15,15.8,0.61,0
85,6.47,1.61,1,1.21,1,0.81,0.7069131,0.23,0
85,6.47,0.82,1,1.24,1,5.8,13.7,0.12,0
269,7.28103,5.91708,1,1.14,1,4.183784,6.6,0.16,0
168,6.9456,13.1353,1,1.1,1,2.325263,3.3,0.34,0
343,7.849,2.14,1,1.19,1,1.29,1.2711841,0.25,0
156,7.91433,0.84,1,1.24,1,5.13,12.4,0.1,0
142,7.89,0.16127,1,0.733,1,0.534309,0.38932237,0.65,0
132,8.71,0.2,1,0.832,1,0.89,0.9034908,0.36,0
507,9.899,7.66,1,1.13,1,1.2163,1.3138946,0.48,0
259,7.52,0.865,1,1.24,1,0.154,0.053114302,0.02,0
259,7.52,5.13,1,1.15,1,2.03,2.6,0.12,0
155,7.61,2.2,1,1.19,1,5.15,11.6,0.02,0
366,5.97272,19.87087,1,1.08,1,2.948979,3.1,0.1,0
260,7.79,0.415,1,1.026,1,0.1097,0.031485286,0.25,0
463,6.53329,15.73735,1,1.09,1,5.250541,7.5,0.68,0
50,6.01,5.30264,1,1.14,1,7.343138,20.3,0.61,0
121,7.20856,0.451,1,1.28,1,0.415,0.25845313,0.04,0
121,7.20856,1.33,1,1.22,1,0.689,0.55304587,0.05,0
121,7.20856,1.18,1,1.22,1,2.09,2.9,0.07,0
121,7.20856,0.66,1,1.25,1,5,13.7,0.26,0
