distance,stellar_magnitude,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,planet_type,,,
1258,16.68,2.629,Jupiter,1.079,Jupiter,0.02658,0.005201916,0.062,0,,,
1423,16.195,1.374,Jupiter,1.165,Jupiter,0.03607,0.008487337,0.045,0,,,
785,13.347,38.1396,Earth,0.563,Jupiter,0.04012,0.008761123,0.17,0,,,
2592,14.512,0.138,Jupiter,0.873,Jupiter,0.04667,0.009856262,0.376,0,,,
2083,13.256,0.837,Jupiter,1.236,Jupiter,0.0312,0.005201916,0.075,0,,,
358,6.69,752,Jupiter,6.9,Jupiter,53,249.2,0,0,,,
447,6.4421,1.61,Jupiter,1.21,Jupiter,0.68,0.4314853,0.09,0,,,
162,8.42,1.03,Jupiter,1.23,Jupiter,1.03,1.0505134,0.36,0,,,
127,7.33,0.203,Jupiter,0.838,Jupiter,3.381,6,0.1,0,,,
98,8.21,0.25,Jupiter,0.949,Jupiter,0.3,0.19301848,0.11,0,,,
129,7.47,0.17,Jupiter,0.756,Jupiter,0.15,0.056947295,0.12,0,,,
96,8.07,0.41,Jupiter,1.27,Jupiter,0.05,0.011225188,0,0,,,
1132,8.69,4.94,Jupiter,1.15,Jupiter,0.51,0.34934977,0.05,0,,,
708,7.88,8.16,Jupiter,1.12,Jupiter,1.81,2.1,0.21,0,,,
